ident,type,name,latitude_deg,longitude_deg,iso_country,municipality,longest_runway_ft,Amiri,A319_Amiri
FNXA,medium_airport,Xangongo Airport,-16.755399703979492,14.965299606323242,AO,Xangongo,7400.0,0,0
FOGK,medium_airport,Koulamoutou Mabimbi Airport,-1.18461,12.4413,GA,Koulamoutou,5841.0,0,0
FOGM,medium_airport,Mouilla Ville Airport,-1.84514,11.0567,GA,Mouila,5891.0,0,0
FOGO,medium_airport,Oyem Airport,1.5431100130081177,11.58139991760254,GA,Oyem,5906.0,0,0
FOGQ,medium_airport,Okondja Airport,-0.665214,13.6731,GA,Okondja,4921.0,0,0
FOGR,medium_airport,Lambarene Airport,-0.704389,10.2457,GA,Lambarene,7555.0,0,0
FOOB,medium_airport,Bitam Airport,2.07564,11.4932,GA,Bitam,5726.0,0,0
FOOG,medium_airport,Port Gentil Airport,-0.7117390036582947,8.754380226135254,GA,Port Gentil,6234.0,0,0
FOOH,medium_airport,Omboue Hospital Airport,-1.57473,9.26269,GA,Omboue,5285.0,0,0
FOOK,medium_airport,Makokou Airport,0.5792109966278076,12.890899658203123,GA,Makokou,5892.0,0,0
FOOL,medium_airport,Libreville Leon M'ba International Airport,0.458600014448,9.4122800827,GA,Libreville,9844.0,0,0
FOON,medium_airport,M'Vengue El Hadj Omar Bongo Ondimba International Airport,-1.6561599969863892,13.437999725341797,GA,Franceville,10105.0,0,0
FPPR,medium_airport,Principe Airport,1.66294,7.41174,ST,São Tomé & Príncipe,4331.0,0,0
FPST,large_airport,São Tomé International Airport,0.378175,6.71215,ST,São Tomé,7283.0,0,1
FQBR,medium_airport,Beira Airport,-19.7964,34.9076,MZ,Beira,7874.0,0,0
FQCH,medium_airport,Chimoio Airport,-19.15130043029785,33.42900085449219,MZ,Chimoio,7874.0,0,0
FQIN,medium_airport,Inhambane Airport,-23.8764,35.408501,MZ,Inhambane,4921.0,0,0
FQLC,medium_airport,Lichinga Airport,-13.274,35.2663,MZ,Lichinga,8300.0,0,0
FQMA,large_airport,Maputo Airport,-25.920799,32.572601,MZ,Maputo,12008.0,1,1
FQMD,medium_airport,Mueda Airport,-11.6729,39.563099,MZ,Mueda,7714.0,0,0
FQMP,medium_airport,Mocímboa da Praia Airport,-11.3618,40.3549,MZ,Mocímboa da Praia,6562.0,0,0
FQNP,medium_airport,Nampula Airport,-15.105600357055664,39.28179931640625,MZ,Nampula,6562.0,0,0
FQPB,medium_airport,Pemba Airport,-12.993302,40.524867,MZ,Pemba,5905.0,0,0
